City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,79.7,75,6,12.88,PF,1675303478
1,port elizabeth,-33.918,25.5701,67.32,84,0,9.22,ZA,1675303478
2,shepsi,44.0361,39.1489,39.63,92,100,9.89,RU,1675303478
3,bluff,-46.6,168.3333,68.16,80,77,11.21,NZ,1675303479
4,gunjur,13.2019,-16.7339,69.87,56,0,10.36,GM,1675303479
5,kapaa,22.0752,-159.319,79.12,74,54,4.0,US,1675303275
6,cidreira,-30.1811,-50.2056,75.22,90,1,6.8,BR,1675303480
7,barrow,71.2906,-156.7887,-7.58,77,0,20.71,US,1675303480
8,kavieng,-2.5744,150.7967,85.66,61,100,8.19,PG,1675303241
9,olafsvik,64.8945,-23.7142,32.02,65,100,21.9,IS,1675303280
10,albany,42.6001,-73.9662,21.22,63,11,6.26,US,1675303396
11,atuona,-9.8,-139.0333,78.67,79,100,15.37,PF,1675303480
12,avarua,-21.2078,-159.775,73.45,94,100,3.44,CK,1675303481
13,ushuaia,-54.8,-68.3,55.06,71,75,10.36,AR,1675303229
14,thompson,55.7435,-97.8558,-20.04,69,20,13.8,CA,1675303481
15,pisco,-13.7,-76.2167,73.45,83,20,14.97,PE,1675303482
16,alice springs,-23.7,133.8833,80.15,34,0,9.22,AU,1675303357
17,busselton,-33.65,115.3333,72.3,42,96,15.84,AU,1675303482
18,jinchang,38.4953,102.1739,25.95,33,100,1.99,CN,1675303483
19,cape town,-33.9258,18.4232,65.1,73,20,16.11,ZA,1675303217
20,nelson bay,-32.7167,152.15,88.09,74,42,15.99,AU,1675303237
21,bredasdorp,-34.5322,20.0403,63.54,80,14,3.51,ZA,1675303483
22,chuy,-33.6971,-53.4616,71.22,78,34,8.81,UY,1675303357
23,butaritari,3.0707,172.7902,80.28,79,100,19.53,KI,1675303484
24,puerto ayora,-0.7393,-90.3518,77.56,95,81,1.99,EC,1675303184
25,contamana,-7.3333,-75.0167,77.5,73,99,2.68,PE,1675303484
26,cairns,-16.9167,145.7667,93.15,62,70,4.61,AU,1675303361
27,ponta do sol,32.6667,-17.1,63.23,63,54,10.47,PT,1675303484
28,dunedin,-45.8742,170.5036,70.81,79,97,4.0,NZ,1675303233
29,hobart,-42.8794,147.3294,67.26,47,75,16.11,AU,1675303309
30,nikolskoye,59.7035,30.7861,30.09,96,100,6.38,RU,1675303251
31,olinda,-8.0089,-34.8553,82.13,69,40,5.75,BR,1675303312
32,tuktoyaktuk,69.4541,-133.0374,-34.6,67,75,4.61,CA,1675303485
33,tambopata,-12.7333,-69.1833,72.07,99,95,1.5,PE,1675303234
34,jamestown,42.097,-79.2353,18.99,80,0,8.05,US,1675303486
35,yar-sale,66.8333,70.8333,8.91,96,100,9.93,RU,1675303486
36,warri,5.5167,5.75,78.37,84,5,3.15,NG,1675303218
37,pacifica,37.6138,-122.4869,54.28,61,40,3.44,US,1675303486
38,lexington,37.9887,-84.4777,30.2,80,0,5.75,US,1675303357
39,vallenar,-28.5708,-70.7581,72.68,50,0,3.0,CL,1675303487
40,havoysund,70.9963,24.6622,28.63,64,100,5.79,NO,1675303487
41,leningradskiy,69.3833,178.4167,-9.69,99,79,5.75,RU,1675303488
42,san angelo,31.4638,-100.437,30.54,91,100,4.61,US,1675303488
43,bom despacho,-19.7364,-45.2522,69.94,77,100,2.8,BR,1675303278
44,gat,31.61,34.7642,53.08,100,100,15.19,IL,1675303442
45,qaanaaq,77.484,-69.3632,-9.6,64,0,8.43,GL,1675303489
46,kloulklubed,7.0419,134.2556,82.9,74,100,21.85,PW,1675303489
47,mukhen,48.1,136.1,1.69,79,94,8.63,RU,1675303489
48,namatanai,-3.6667,152.4333,85.82,60,77,4.83,PG,1675303490
49,marawi,7.9986,124.2928,77.59,71,100,4.18,PH,1675303490
50,narsaq,60.9167,-46.05,17.82,92,100,4.59,GL,1675303227
51,saskylakh,71.9167,114.0833,-12.23,98,100,7.14,RU,1675303199
52,mar del plata,-38.0023,-57.5575,71.1,81,100,10.36,AR,1675303367
53,carnduff,49.1667,-101.8009,9.37,92,100,9.62,CA,1675303490
54,jalu,29.0331,21.5482,50.02,65,0,8.21,LY,1675303491
55,vao,-22.6667,167.4833,80.04,77,23,6.44,NC,1675303369
56,ahtopol,42.1,27.95,40.59,65,71,8.86,BG,1675303491
57,beringovskiy,63.05,179.3167,21.65,96,100,9.01,RU,1675303492
58,nemuro,43.3236,145.575,24.17,67,99,31.63,JP,1675303492
59,punta arenas,-53.15,-70.9167,57.31,58,75,11.5,CL,1675303307
60,alyangula,-13.8483,136.4192,86.07,71,100,9.15,AU,1675303492
61,natal,-5.795,-35.2094,80.82,74,40,9.22,BR,1675303215
62,palmer,42.1584,-72.3287,25.63,58,0,5.75,US,1675303337
63,san patricio,28.017,-97.5169,39.07,89,100,12.12,US,1675303493
64,komsomolskiy,40.4272,71.7189,30.92,74,100,4.61,UZ,1675303493
65,omboue,-1.5746,9.2618,77.5,92,89,4.99,GA,1675303494
66,pavullo nel frignano,44.3315,10.835,39.74,87,3,6.91,IT,1675303494
67,saint-philippe,-21.3585,55.7679,74.79,83,13,6.6,RE,1675303494
68,vaini,-21.2,-175.2,86.16,70,75,14.97,TO,1675303495
69,dolores,-36.3132,-57.6792,65.93,91,100,6.15,AR,1675303495
70,puerto escondido,15.85,-97.0667,79.63,69,0,0.0,MX,1675303387
71,fort nelson,58.8053,-122.7002,-8.01,71,20,9.22,CA,1675303495
72,khingansk,49.1167,131.1833,-6.32,86,53,9.57,RU,1675303496
73,houma,29.5958,-90.7195,61.0,89,100,4.0,US,1675303496
74,lagoa,39.05,-27.9833,56.62,70,4,7.07,PT,1675303433
75,hilo,19.7297,-155.09,80.28,95,100,4.0,US,1675303260
76,east london,-33.0153,27.9116,69.37,83,16,12.8,ZA,1675303497
77,codrington,-38.2667,141.9667,55.11,89,100,19.77,AU,1675303497
78,port hardy,50.6996,-127.4199,41.18,93,100,23.02,CA,1675303223
79,hasaki,35.7333,140.8333,45.0,39,100,15.32,JP,1675303456
80,puerto del rosario,28.5004,-13.8627,64.15,55,0,23.02,ES,1675303498
81,nhulunbuy,-12.2333,136.7667,83.01,74,75,20.71,AU,1675303498
